mechanism,initial_train_perf_Dice,initial_train_perf_F1,initial_inference_perf_Dice,initial_inference_perf_F1,performance_difference_Dice,performance_difference_F1,value_Dice,value_F1,train_annotator,test_annotator
P(labels|images),0.6584,0.6215,0.6059,0.5296,-0.0525,-0.0919,-0.0320,-0.0683,1,2
P(images),0.6584,0.6215,0.6059,0.5296,-0.0525,-0.0919,-0.0205,-0.0236,1,2
P(labels|images),0.6341,0.6171,0.5740,0.5359,-0.0601,-0.0812,-0.0436,-0.0596,1,3
P(images),0.6341,0.6171,0.5740,0.5359,-0.0601,-0.0812,-0.0165,-0.0216,1,3
P(labels|images),0.6263,0.6403,0.5282,0.5227,-0.0981,-0.1176,-0.0747,-0.0709,1,4
P(images),0.6263,0.6403,0.5282,0.5227,-0.0981,-0.1176,-0.0234,-0.0467,1,4
P(labels|images),0.6532,0.6414,0.6003,0.5311,-0.0529,-0.1103,-0.0363,-0.0861,1,5
P(images),0.6532,0.6414,0.6003,0.5311,-0.0529,-0.1103,-0.0166,-0.0242,1,5
P(labels|images),0.6584,0.6387,0.5493,0.5626,-0.1091,-0.0761,-0.0700,-0.0458,1,6
P(images),0.6584,0.6387,0.5493,0.5626,-0.1091,-0.0761,-0.0391,-0.0303,1,6
P(labels|images),0.6575,0.6396,0.5575,0.5339,-0.1000,-0.1057,-0.0739,-0.0822,1,7
P(images),0.6575,0.6396,0.5575,0.5339,-0.1000,-0.1057,-0.0261,-0.0235,1,7
P(labels|images),0.6525,0.6320,0.5566,0.5265,-0.0959,-0.1055,-0.0676,-0.0753,2,1
P(images),0.6525,0.6320,0.5566,0.5265,-0.0959,-0.1055,-0.0283,-0.0302,2,1
P(labels|images),0.6492,0.6270,0.5762,0.5401,-0.0730,-0.0869,-0.0462,-0.0684,2,3
P(images),0.6492,0.6270,0.5762,0.5401,-0.0730,-0.0869,-0.0268,-0.0185,2,3
P(labels|images),0.6483,0.6370,0.5535,0.5348,-0.0948,-0.1022,-0.0738,-0.0649,2,4
P(images),0.6483,0.6370,0.5535,0.5348,-0.0948,-0.1022,-0.0210,-0.0373,2,4
P(labels|images),0.6626,0.6235,0.5706,0.5229,-0.0920,-0.1006,-0.0685,-0.0613,2,5
P(images),0.6626,0.6235,0.5706,0.5229,-0.0920,-0.1006,-0.0235,-0.0393,2,5
P(labels|images),0.6392,0.6279,0.5524,0.5350,-0.0868,-0.0929,-0.0606,-0.0680,2,6
P(images),0.6392,0.6279,0.5524,0.5350,-0.0868,-0.0929,-0.0262,-0.0249,2,6
P(labels|images),0.6434,0.6340,0.5633,0.5299,-0.0801,-0.1041,-0.0475,-0.0833,2,7
P(images),0.6434,0.6340,0.5633,0.5299,-0.0801,-0.1041,-0.0326,-0.0208,2,7
P(labels|images),0.6460,0.6283,0.5601,0.5347,-0.0859,-0.0936,-0.0554,-0.0730,3,1
